SIS ID,School SIS ID,First Name,Last Name,Username,Password,State ID,Secondary Email,Student Number,Middle Name,Grade,Status,Birthdate,Graduation Year
13001,10001,Velda,Mancilla,Vmancilla,P@ssword,WP,,13001,Christopher,9,Active,4/2/2000,2019
13002,10001,Marta,Brace,MBrace,P@ssword,WP,,13002,Lynn,10,Active,11/12/1999,2018
13003,10001,Juan,Vanwyhe,JVanwyhe,P@ssword,WP,,13003,Brian,12,Active,12/19/1997,2016
13004,10001,Lelia,Filion,LFilion,P@ssword,WP,,13004,Daniel,9,Active,6/20/2000,2019
13005,10001,Una,Frankel,UFrankel,P@ssword,WP,,13005,Troy,11,Active,5/17/1998,2017
13006,10001,Eva,Joulwan,EJoulwan,P@ssword,WP,,13006,Thomas,10,Active,8/22/1999,2018
13007,10001,Mammie,Dormanen,MDormanen,P@ssword,WP,,13012,Grace,9,Active,5/11/1998,2019
13008,10001,Jeannetta,Coolidge,JCoolidge,P@ssword,WP,,13013,Christopher,11,Active,8/13/1999,2016
13009,10001,Elbert,Drawe,EDrawe,P@ssword,WP,,13014,Lynn,10,Active,7/6/2000,2017
13010,10001,Lenny,Gazzola,LGazzola,P@ssword,WP,,13015,Francis,9,Active,3/19/1997,2019
13011,10001,Mira,Alpheaus,MAlpheaus,P@ssword,WP,,13016,Robert,12,Active,4/10/1998,2017
13012,10001,Cathern,Ungar,CUngar,P@ssword,WP,,13017,James,10,Active,5/17/1999,2017
13013,10001,Malcom,Fleckles,MFleckles,P@ssword,WP,,13018,Wilma,9,Active,2/17/2001,2020
13014,10001,Monroe,Damato,MDamato,P@ssword,WP,,13019,Forrest,10,Active,8/9/2000,2019
13015,10001,Leota,Fletchen,LFletchen,P@ssword,WP,,13020,Noah,11,Active,6/17/1999,2018
13016,10001,Berry,Gutoski,BGutoski,P@ssword,WP,,13021,Tracy,9,Active,3/19/2001,2020
13017,10001,Meghan,Riherd,MRiherd,P@ssword,WP,,13022,Delmar,10,Active,3/10/2000,2019
13018,10001,Mike,Torner,MTorner,P@ssword,WP,,13023,Maya,12,Active,4/3/1998,2017
13019,10001,Wilfred,Bevins,Wbevins,P@ssword,WP,,13024,Casey,9,Active,4/13/2001,2020
13020,10001,Rogelio,Cazares,Rcazares,P@ssword,WP,,13025,Hal,10,Active,2/1/2000,2019
13021,10001,Dixie,Morrison,Dmorrison,P@ssword,WP,,13026,Chris,11,Active,8/12/1999,2018
13022,10001,Williams,Bisson,Wbisson,P@ssword,WP,,13027,Roxanne,9,Active,3/6/2001,2020
